station_id,code,name,station_type,variable_code,variable_label,variable_unit,source_code,source_label,source_type,provider,record_count,first_record,last_record
1c5153a0-445e-4f52-b355-d499a4fbeb52,1,Aguelmam Sidi Ali,Poste Pluviométrique,precip_mm,Pluie,mm,ECMWF,PrÃ©visions ECMWF,forecast,ECMWF,102,2026-02-26T01:00:00+00:00,2026-03-02T06:00:00+00:00
1c5153a0-445e-4f52-b355-d499a4fbeb52,1,Aguelmam Sidi Ali,Poste Pluviométrique,precip_mm,Pluie,mm,OBS,Observations,observed,ABHS,1515,2025-12-15T00:00:00+00:00,2026-02-16T10:00:00+00:00
9a53019e-1a56-49ed-a7aa-67c14158f3f4,54,Ain Aicha,Station hydrologique,flow_m3s,Débit,m3/s,OBS,Observations,observed,ABHS,564,2026-02-02T21:00:00+00:00,2026-02-26T08:00:00+00:00
9a53019e-1a56-49ed-a7aa-67c14158f3f4,54,Ain Aicha,Station hydrologique,flow_m3s,Débit,m3/s,SIM,SimulÃ©,simulated,INTERNAL,1083,2026-02-02T21:00:00+00:00,2026-03-19T23:00:00+00:00
9a53019e-1a56-49ed-a7aa-67c14158f3f4,54,Ain Aicha,Station hydrologique,precip_mm,Pluie,mm,ECMWF,PrÃ©visions ECMWF,forecast,ECMWF,360,2026-03-05T01:00:00+00:00,2026-03-20T00:00:00+00:00
9a53019e-1a56-49ed-a7aa-67c14158f3f4,54,Ain Aicha,Station hydrologique,precip_mm,Pluie,mm,OBS,Observations,observed,ABHS,1527,2026-01-01T00:00:00+00:00,2026-03-05T14:00:00+00:00
725b507f-fa16-4e9f-83b0-4562c02f18ed,51,Ain El Ouali,Station hydrologique,flow_m3s,Débit,m3/s,OBS,Observations,observed,ABHS,1614,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00
725b507f-fa16-4e9f-83b0-4562c02f18ed,51,Ain El Ouali,Station hydrologique,precip_mm,Pluie,mm,OBS,Observations,observed,ABHS,1515,2025-12-15T00:00:00+00:00,2026-02-16T10:00:00+00:00
9135a11d-7405-484d-abe4-9d505f73c75f,50,Ain Sebou,Station hydrologique,flow_m3s,Débit,m3/s,OBS,Observations,observed,ABHS,1617,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00
9135a11d-7405-484d-abe4-9d505f73c75f,50,Ain Sebou,Station hydrologique,precip_mm,Pluie,mm,OBS,Observations,observed,ABHS,1487,2025-12-15T00:00:00+00:00,2026-02-16T10:00:00+00:00
53c3afb0-fbf5-45c7-8307-57f195359293,2,Ait Khabbach,Station hydrologique,flow_m3s,Débit,m3/s,OBS,Observations,observed,ABHS,1620,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00
53c3afb0-fbf5-45c7-8307-57f195359293,2,Ait Khabbach,Station hydrologique,precip_mm,Pluie,mm,ECMWF,PrÃ©visions ECMWF,forecast,ECMWF,102,2026-02-26T01:00:00+00:00,2026-03-02T06:00:00+00:00
