station_id,code,name,station_type,missing_variable_code,missing_source_code
725b507f-fa16-4e9f-83b0-4562c02f18ed,51,Ain El Ouali,Station hydrologique,flow_m3s,SIM
725b507f-fa16-4e9f-83b0-4562c02f18ed,51,Ain El Ouali,Station hydrologique,precip_mm,ECMWF
9135a11d-7405-484d-abe4-9d505f73c75f,50,Ain Sebou,Station hydrologique,flow_m3s,SIM
9135a11d-7405-484d-abe4-9d505f73c75f,50,Ain Sebou,Station hydrologique,precip_mm,ECMWF
53c3afb0-fbf5-45c7-8307-57f195359293,2,Ait Khabbach,Station hydrologique,flow_m3s,SIM
3a47613d-4093-4b15-be03-c507df06553a,4,Azibe Soltane,Station hydrologique,flow_m3s,SIM
a53ae6d0-c5a0-4770-b81c-494bc38817b0,52,Azzaba,Station hydrologique,flow_m3s,SIM
a53ae6d0-c5a0-4770-b81c-494bc38817b0,52,Azzaba,Station hydrologique,precip_mm,ECMWF
97820f63-1c62-421d-94b5-dab234dc7f2a,5,Bab Chhoub,Station hydrologique,flow_m3s,SIM
314c4ef6-4f61-468e-a3d2-7e4edf5b5c0e,6,Bab Merzouka,Station hydrologique,flow_m3s,SIM
e3fd8ec9-b489-40eb-a41e-81dab24847f0,7,Bab Ouender,Station hydrologique,flow_m3s,SIM
bea097c7-e3d2-43dc-abd2-7fd8116e83a3,8,Bab Taza,Poste Pluviométrique,precip_mm,ECMWF
b74ddcc4-cd6c-447c-bfc9-5f6a9e9923bb,9,Belksiri,Station hydrologique,flow_m3s,SIM
b74ddcc4-cd6c-447c-bfc9-5f6a9e9923bb,9,Belksiri,Station hydrologique,precip_mm,ECMWF
05b69e8f-d0a1-4dfa-b1b3-933e3ccb714a,10,Bge Al Wahda,Barrage,flow_m3s,OBS
05b69e8f-d0a1-4dfa-b1b3-933e3ccb714a,10,Bge Al Wahda,Barrage,precip_mm,ECMWF
d76c48a5-4c05-44ae-a9fb-68d2a00828b9,3,Bge Allal Al Fassi,Barrage,flow_m3s,OBS
d76c48a5-4c05-44ae-a9fb-68d2a00828b9,3,Bge Allal Al Fassi,Barrage,flow_m3s,SIM
d76c48a5-4c05-44ae-a9fb-68d2a00828b9,3,Bge Allal Al Fassi,Barrage,inflow_m3s,SIM
d76c48a5-4c05-44ae-a9fb-68d2a00828b9,3,Bge Allal Al Fassi,Barrage,lacher_m3s,SIM
